JobKey,JobTitle,Occupation_Code,Job_Family,IndustryKey,ExperienceKey,AIImpactKey,WorkModeKey,SalaryAnalyticsKey,Job_Status,Description,Career_Path_Example
21,Software Engineer 21,53-6660,HR,39,26,10,46,155,Declining,Description for job 21,Senior Role
22,Truck Driver 22,96-2642,Technology,99,45,46,12,35,Declining,Description for job 22,Specialist
23,Software Engineer 23,69-2835,Marketing,46,37,15,18,24,Stable,Description for job 23,Management
24,Accountant 24,79-4827,Marketing,77,28,24,24,1,Transforming,Description for job 24,Specialist
25,Sales Director 25,73-5187,Sales,64,29,10,47,9,Stable,Description for job 25,Management
26,Marketing Manager 26,17-4857,Marketing,84,15,9,25,179,Stable,Description for job 26,Senior Role
27,Financial Analyst 27,90-8454,HR,49,36,48,17,62,Stable,Description for job 27,Specialist
28,Graphic Designer 28,57-5372,Marketing,55,36,50,25,141,Transforming,Description for job 28,Specialist
29,Truck Driver 29,96-7251,Technology,61,48,43,42,14,Declining,Description for job 29,Senior Role
30,Software Engineer 30,66-9748,Technology,69,25,39,9,173,Stable,Description for job 30,Senior Role
31,Truck Driver 31,64-9400,Technology,23,1,34,49,184,Transforming,Description for job 31,Management
32,Nurse 32,86-4903,Finance,94,12,26,19,132,Emerging,Description for job 32,Management
33,Truck Driver 33,74-5801,Finance,50,49,10,1,61,Transforming,Description for job 33,Specialist
34,AI Specialist 34,58-5069,Finance,61,5,41,2,22,Stable,Description for job 34,Senior Role
35,AI Specialist 35,65-9206,Technology,91,28,5,20,176,Emerging,Description for job 35,Specialist
36,Sales Director 36,51-9133,HR,32,17,17,30,86,Emerging,Description for job 36,Senior Role
37,Customer Service Rep 37,66-5719,Finance,95,42,2,17,156,Stable,Description for job 37,Senior Role
38,Sales Director 38,28-5202,Operations,30,9,32,14,145,Emerging,Description for job 38,Management
39,Machine Learning Engineer 39,25-3284,Sales,9,49,32,41,126,Declining,Description for job 39,Management
40,Customer Service Rep 40,40-8931,Technology,35,46,18,37,128,Transforming,Description for job 40,Specialist
41,Data Scientist 41,89-2407,Marketing,20,15,17,12,98,Emerging,Description for job 41,Management
42,Sales Director 42,92-6665,Marketing,44,48,23,49,185,Stable,Description for job 42,Senior Role
43,Data Scientist 43,58-2145,Sales,90,26,13,36,190,Stable,Description for job 43,Senior Role
44,Graphic Designer 44,80-2403,Sales,49,10,42,13,33,Declining,Description for job 44,Senior Role
45,AI Specialist 45,79-1612,Marketing,98,29,44,39,99,Emerging,Description for job 45,Specialist
46,AI Specialist 46,25-5042,Technology,28,34,6,4,176,Transforming,Description for job 46,Senior Role
47,Nurse 47,80-1264,Technology,63,46,3,25,99,Declining,Description for job 47,Specialist
48,Machine Learning Engineer 48,46-8024,Marketing,79,36,24,46,45,Declining,Description for job 48,Senior Role
49,Software Engineer 49,32-2128,Operations,55,29,36,38,154,Stable,Description for job 49,Specialist
50,Nurse 50,60-6068,Operations,75,10,20,48,94,Declining,Description for job 50,Senior Role
51,Nurse 51,28-5147,Operations,1,1,16,33,165,Declining,Description for job 51,Management
52,Financial Analyst 52,33-9493,Sales,90,7,48,3,181,Stable,Description for job 52,Management
53,Graphic Designer 53,25-3342,HR,75,38,25,44,22,Stable,Description for job 53,Senior Role
54,Graphic Designer 54,62-2789,Operations,89,47,22,43,35,Transforming,Description for job 54,Specialist
55,Accountant 55,19-4718,Technology,37,39,48,32,105,Stable,Description for job 55,Management
56,Customer Service Rep 56,53-9955,Marketing,28,4,10,36,76,Declining,Description for job 56,Specialist
57,Truck Driver 57,73-6860,Sales,97,36,49,15,24,Declining,Description for job 57,Management
58,Financial Analyst 58,41-7585,Operations,82,47,1,5,105,Stable,Description for job 58,Management
59,Truck Driver 59,27-6428,Marketing,2,48,7,11,170,Transforming,Description for job 59,Specialist
60,Machine Learning Engineer 60,79-9197,Operations,66,41,38,50,63,Declining,Description for job 60,Senior Role
61,Financial Analyst 61,66-9351,Marketing,97,26,49,9,187,Emerging,Description for job 61,Specialist
62,Truck Driver 62,56-6420,HR,67,20,42,11,171,Emerging,Description for job 62,Specialist
63,Truck Driver 63,12-2671,HR,50,35,26,42,27,Declining,Description for job 63,Specialist
64,Marketing Manager 64,66-7115,Finance,15,49,41,50,180,Emerging,Description for job 64,Management
65,Software Engineer 65,45-4822,Marketing,2,20,2,11,119,Declining,Description for job 65,Specialist
66,Customer Service Rep 66,13-6211,HR,65,9,22,19,94,Stable,Description for job 66,Senior Role
67,HR Specialist 67,84-7326,Technology,83,13,10,45,160,Stable,Description for job 67,Management
68,Financial Analyst 68,53-2515,Finance,41,6,30,22,173,Emerging,Description for job 68,Management
69,Customer Service Rep 69,21-6559,HR,49,7,21,31,42,Emerging,Description for job 69,Specialist
70,HR Specialist 70,31-7623,Sales,29,18,21,7,189,Declining,Description for job 70,Senior Role
71,Data Scientist 71,57-2062,Operations,77,22,27,2,67,Emerging,Description for job 71,Senior Role
72,Software Engineer 72,11-6788,Sales,83,36,35,24,183,Transforming,Description for job 72,Specialist
73,Machine Learning Engineer 73,12-9644,Marketing,18,12,41,36,17,Stable,Description for job 73,Specialist
74,AI Specialist 74,30-3475,Sales,10,26,24,15,109,Emerging,Description for job 74,Senior Role
75,HR Specialist 75,87-4443,Finance,41,33,41,36,51,Stable,Description for job 75,Specialist
76,Accountant 76,85-3739,Operations,34,27,21,27,91,Transforming,Description for job 76,Specialist
77,Accountant 77,81-4357,Marketing,7,19,12,21,163,Stable,Description for job 77,Senior Role
78,Machine Learning Engineer 78,27-2553,Sales,45,24,2,16,95,Emerging,Description for job 78,Specialist
79,Data Scientist 79,68-9931,Marketing,86,30,46,24,134,Declining,Description for job 79,Senior Role
80,AI Specialist 80,55-4241,HR,17,38,23,11,88,Declining,Description for job 80,Specialist
81,Data Scientist 81,65-5012,HR,77,32,24,6,37,Emerging,Description for job 81,Senior Role
82,Customer Service Rep 82,70-6402,Technology,11,20,3,37,99,Stable,Description for job 82,Specialist
83,Sales Director 83,71-8516,Finance,10,25,40,28,2,Transforming,Description for job 83,Management
84,Accountant 84,21-7059,Technology,69,3,34,19,159,Stable,Description for job 84,Senior Role
85,Sales Director 85,45-2008,Sales,29,1,6,47,94,Emerging,Description for job 85,Management
86,Customer Service Rep 86,72-3405,Technology,38,3,39,34,115,Stable,Description for job 86,Senior Role
87,AI Specialist 87,88-9469,Operations,48,30,4,50,23,Declining,Description for job 87,Specialist
88,Software Engineer 88,99-2101,Operations,17,25,38,18,46,Stable,Description for job 88,Senior Role
89,Sales Director 89,91-5247,HR,41,23,8,36,131,Transforming,Description for job 89,Senior Role
90,HR Specialist 90,54-8780,Technology,81,14,3,32,12,Stable,Description for job 90,Senior Role
91,Software Engineer 91,80-3753,Sales,23,41,45,21,154,Emerging,Description for job 91,Senior Role
92,Marketing Manager 92,59-1963,Technology,32,50,9,8,155,Emerging,Description for job 92,Senior Role
93,Graphic Designer 93,46-8428,Marketing,40,39,19,24,90,Emerging,Description for job 93,Management
94,Graphic Designer 94,31-2653,HR,11,17,48,1,114,Declining,Description for job 94,Senior Role
95,Accountant 95,67-2891,Technology,93,35,26,16,132,Declining,Description for job 95,Specialist
96,Truck Driver 96,46-4234,Finance,61,1,28,33,185,Stable,Description for job 96,Senior Role
97,Financial Analyst 97,96-9435,Marketing,68,20,33,38,131,Transforming,Description for job 97,Senior Role
98,AI Specialist 98,67-3539,HR,13,46,44,41,134,Stable,Description for job 98,Management
99,Software Engineer 99,33-1014,Sales,65,34,23,17,94,Declining,Description for job 99,Senior Role
100,Graphic Designer 100,58-2343,Marketing,61,38,33,32,66,Stable,Description for job 100,Senior Role
101,Marketing Manager 101,18-2172,Finance,82,5,29,27,9,Transforming,Description for job 101,Management
102,Sales Director 102,67-7834,Sales,40,1,18,36,15,Emerging,Description for job 102,Senior Role
103,Data Scientist 103,47-8055,Technology,53,38,40,22,139,Stable,Description for job 103,Senior Role
104,Accountant 104,98-7626,Finance,10,4,25,35,158,Stable,Description for job 104,Specialist
105,Data Scientist 105,71-4195,Marketing,1,43,37,21,37,Declining,Description for job 105,Management
106,Marketing Manager 106,99-1821,Sales,31,7,34,46,101,Emerging,Description for job 106,Specialist
107,Data Scientist 107,40-3024,Operations,26,25,30,11,106,Transforming,Description for job 107,Management
108,Graphic Designer 108,69-7756,Sales,75,10,23,49,125,Emerging,Description for job 108,Management
109,Accountant 109,41-4869,Sales,1,20,29,19,82,Declining,Description for job 109,Specialist
110,Machine Learning Engineer 110,97-8592,HR,52,32,36,49,131,Stable,Description for job 110,Management
111,Truck Driver 111,64-6748,Marketing,29,34,4,33,36,Declining,Description for job 111,Specialist
112,Truck Driver 112,10-5540,Operations,4,38,10,10,66,Declining,Description for job 112,Senior Role
113,Data Scientist 113,81-2520,Operations,9,49,12,33,47,Emerging,Description for job 113,Specialist
114,HR Specialist 114,86-2012,Operations,69,28,18,48,135,Declining,Description for job 114,Management
115,Marketing Manager 115,10-7685,Technology,81,6,42,48,18,Declining,Description for job 115,Senior Role
116,Truck Driver 116,35-5644,Technology,36,33,14,37,112,Emerging,Description for job 116,Specialist
117,Nurse 117,47-6171,Technology,50,14,31,36,7,Declining,Description for job 117,Senior Role
118,Financial Analyst 118,88-8610,Sales,77,46,20,10,14,Emerging,Description for job 118,Specialist
119,Machine Learning Engineer 119,73-2183,Finance,95,28,49,12,50,Transforming,Description for job 119,Senior Role
120,Truck Driver 120,67-4050,Technology,93,46,19,28,159,Transforming,Description for job 120,Management
121,Accountant 121,69-3595,Finance,51,13,27,34,183,Emerging,Description for job 121,Specialist
122,Nurse 122,80-4997,HR,64,16,15,9,74,Stable,Description for job 122,Senior Role
123,Graphic Designer 123,60-6068,Marketing,55,10,7,18,3,Stable,Description for job 123,Senior Role
124,HR Specialist 124,71-6209,Sales,97,19,26,37,116,Stable,Description for job 124,Specialist
125,Financial Analyst 125,26-5545,Sales,31,18,5,48,170,Stable,Description for job 125,Senior Role
126,AI Specialist 126,72-3823,Sales,54,4,11,24,24,Transforming,Description for job 126,Specialist
127,Customer Service Rep 127,93-9572,Operations,27,26,30,23,91,Emerging,Description for job 127,Management
128,Financial Analyst 128,26-8338,Technology,21,34,18,20,66,Declining,Description for job 128,Specialist
129,HR Specialist 129,86-5110,Operations,38,13,16,37,112,Stable,Description for job 129,Management
130,HR Specialist 130,50-1318,Sales,43,33,33,4,195,Emerging,Description for job 130,Senior Role
131,Graphic Designer 131,58-9122,Operations,97,49,38,18,109,Declining,Description for job 131,Specialist
132,AI Specialist 132,91-7433,Marketing,86,50,9,48,147,Transforming,Description for job 132,Management
133,Financial Analyst 133,17-3089,Technology,16,35,19,45,74,Declining,Description for job 133,Specialist
134,Nurse 134,66-3022,Finance,66,24,11,30,1,Transforming,Description for job 134,Senior Role
135,HR Specialist 135,96-7328,Finance,59,38,5,21,126,Transforming,Description for job 135,Senior Role
136,AI Specialist 136,14-5985,Marketing,28,15,34,1,7,Stable,Description for job 136,Management
137,Graphic Designer 137,61-1378,Marketing,9,5,42,39,150,Declining,Description for job 137,Management
138,Machine Learning Engineer 138,72-6499,Technology,94,1,41,36,74,Declining,Description for job 138,Senior Role
139,Graphic Designer 139,44-1995,Operations,67,42,48,7,96,Declining,Description for job 139,Management
140,Accountant 140,43-9943,Technology,67,27,10,36,104,Transforming,Description for job 140,Management
141,AI Specialist 141,49-3124,HR,25,21,19,49,39,Stable,Description for job 141,Management
142,Software Engineer 142,72-2501,Marketing,100,34,14,45,152,Declining,Description for job 142,Senior Role
143,Machine Learning Engineer 143,91-1954,Technology,55,40,13,25,137,Stable,Description for job 143,Management
144,Machine Learning Engineer 144,63-2907,Operations,3,5,7,20,174,Emerging,Description for job 144,Specialist
145,HR Specialist 145,70-3530,Finance,58,26,25,48,50,Declining,Description for job 145,Specialist
146,Sales Director 146,70-1576,Technology,26,20,35,2,136,Emerging,Description for job 146,Management
147,AI Specialist 147,68-4610,Finance,69,44,29,34,121,Emerging,Description for job 147,Senior Role
148,Marketing Manager 148,22-5664,Operations,3,37,14,28,25,Stable,Description for job 148,Management
149,AI Specialist 149,39-8391,Operations,37,33,40,7,36,Emerging,Description for job 149,Specialist
150,Data Scientist 150,99-3441,Finance,60,15,26,3,150,Transforming,Description for job 150,Senior Role
151,Financial Analyst 151,94-7541,Technology,18,41,11,19,136,Transforming,Description for job 151,Specialist
152,HR Specialist 152,75-1807,Operations,71,12,24,42,167,Declining,Description for job 152,Senior Role
153,Nurse 153,41-3755,Operations,18,48,25,43,113,Transforming,Description for job 153,Management
154,Sales Director 154,46-7066,HR,2,15,46,43,196,Transforming,Description for job 154,Specialist
155,Truck Driver 155,72-7853,HR,40,15,47,40,25,Stable,Description for job 155,Specialist
156,Truck Driver 156,12-9688,Marketing,79,50,5,26,52,Transforming,Description for job 156,Senior Role
157,Software Engineer 157,62-5721,Operations,89,11,42,7,12,Declining,Description for job 157,Specialist
158,AI Specialist 158,48-8136,Sales,21,10,41,2,178,Declining,Description for job 158,Management
159,Customer Service Rep 159,46-6716,Technology,72,2,13,9,131,Emerging,Description for job 159,Management
160,HR Specialist 160,93-7092,Finance,14,12,30,37,87,Declining,Description for job 160,Management
161,Machine Learning Engineer 161,99-7815,HR,28,20,3,3,70,Emerging,Description for job 161,Senior Role
162,Customer Service Rep 162,12-6783,Marketing,5,47,34,24,41,Emerging,Description for job 162,Management
163,Software Engineer 163,74-8138,HR,95,4,35,5,105,Transforming,Description for job 163,Senior Role
164,HR Specialist 164,84-1504,Operations,56,1,12,5,54,Declining,Description for job 164,Management
165,Customer Service Rep 165,52-4443,HR,50,12,20,38,103,Transforming,Description for job 165,Management
166,AI Specialist 166,58-4650,Marketing,22,31,32,17,61,Emerging,Description for job 166,Management
167,Software Engineer 167,54-1393,HR,46,9,44,2,156,Emerging,Description for job 167,Senior Role
168,Marketing Manager 168,27-9333,Finance,94,27,16,43,81,Emerging,Description for job 168,Specialist
169,Sales Director 169,13-3101,Finance,12,45,20,32,187,Declining,Description for job 169,Management
170,AI Specialist 170,70-8510,Marketing,52,48,39,15,72,Stable,Description for job 170,Senior Role
171,HR Specialist 171,82-1407,Marketing,19,27,33,38,107,Transforming,Description for job 171,Management
172,Nurse 172,36-8880,Operations,14,26,10,22,99,Declining,Description for job 172,Management
173,Marketing Manager 173,11-8255,Sales,81,16,45,47,7,Declining,Description for job 173,Senior Role
174,Graphic Designer 174,50-7702,Operations,98,7,45,4,53,Stable,Description for job 174,Management
175,Truck Driver 175,54-7643,Operations,64,16,31,9,170,Emerging,Description for job 175,Management
176,Customer Service Rep 176,37-8008,Sales,85,1,43,12,117,Declining,Description for job 176,Management
177,Marketing Manager 177,51-6323,Operations,99,17,8,29,72,Declining,Description for job 177,Specialist
178,Accountant 178,38-5233,Technology,88,20,22,23,184,Emerging,Description for job 178,Management
179,Truck Driver 179,37-4841,Finance,1,7,28,2,151,Transforming,Description for job 179,Management
180,Customer Service Rep 180,53-8498,Operations,84,16,24,15,174,Transforming,Description for job 180,Senior Role
181,Nurse 181,91-9408,HR,19,48,19,13,126,Emerging,Description for job 181,Senior Role
182,Software Engineer 182,25-6400,Finance,65,25,1,49,182,Transforming,Description for job 182,Senior Role
183,Sales Director 183,34-3801,Operations,45,6,47,19,129,Transforming,Description for job 183,Specialist
184,Financial Analyst 184,12-6501,Technology,98,17,31,40,150,Emerging,Description for job 184,Management
185,HR Specialist 185,51-1948,Technology,4,47,15,42,115,Transforming,Description for job 185,Senior Role
186,Sales Director 186,85-6240,HR,47,37,17,48,56,Declining,Description for job 186,Specialist
187,Nurse 187,17-1552,HR,42,29,40,25,46,Emerging,Description for job 187,Senior Role
188,Graphic Designer 188,68-9786,Operations,57,12,17,18,123,Transforming,Description for job 188,Management
189,Graphic Designer 189,28-8121,Finance,32,15,41,33,73,Emerging,Description for job 189,Management
190,Truck Driver 190,29-8774,Technology,17,31,10,27,41,Stable,Description for job 190,Senior Role
191,Marketing Manager 191,29-2518,Finance,29,47,24,30,181,Declining,Description for job 191,Senior Role
192,Sales Director 192,26-5136,Finance,34,38,20,50,71,Stable,Description for job 192,Specialist
193,Software Engineer 193,15-2635,Sales,17,39,8,4,97,Emerging,Description for job 193,Senior Role
194,Machine Learning Engineer 194,70-4966,Technology,48,38,44,34,105,Declining,Description for job 194,Management
195,HR Specialist 195,59-4542,Marketing,90,28,16,6,156,Emerging,Description for job 195,Senior Role
196,Data Scientist 196,62-5925,Sales,27,39,17,9,66,Emerging,Description for job 196,Management
197,Truck Driver 197,36-8302,Operations,32,29,44,38,119,Emerging,Description for job 197,Management
198,Financial Analyst 198,75-4757,Marketing,76,22,36,49,156,Stable,Description for job 198,Specialist
199,Machine Learning Engineer 199,64-7966,HR,56,45,27,8,23,Stable,Description for job 199,Senior Role
200,Graphic Designer 200,59-2638,HR,13,36,41,46,14,Emerging,Description for job 200,Management
201,Machine Learning Engineer 201,68-2011,Finance,17,9,20,26,176,Declining,Description for job 201,Senior Role
202,Nurse 202,35-7317,Operations,91,23,8,34,88,Transforming,Description for job 202,Specialist
203,Marketing Manager 203,53-6502,Finance,93,35,22,42,187,Transforming,Description for job 203,Senior Role
204,AI Specialist 204,25-3401,Technology,42,16,19,45,142,Emerging,Description for job 204,Management
205,Nurse 205,88-1012,Finance,70,19,2,50,169,Emerging,Description for job 205,Specialist
206,Software Engineer 206,71-6863,Finance,76,37,9,13,143,Declining,Description for job 206,Management
207,Sales Director 207,16-9468,HR,92,4,45,48,143,Stable,Description for job 207,Senior Role
208,Machine Learning Engineer 208,84-6928,HR,86,27,1,14,32,Transforming,Description for job 208,Management
209,Sales Director 209,93-4264,HR,28,4,18,43,16,Declining,Description for job 209,Management
210,Sales Director 210,63-8399,Operations,17,36,20,43,137,Emerging,Description for job 210,Specialist
211,AI Specialist 211,40-3073,Finance,84,43,45,21,4,Declining,Description for job 211,Management
212,Data Scientist 212,45-8040,Marketing,65,41,26,6,67,Stable,Description for job 212,Specialist
213,Machine Learning Engineer 213,67-5812,Technology,57,24,3,25,185,Declining,Description for job 213,Management
214,Graphic Designer 214,14-7688,Technology,94,13,41,15,185,Declining,Description for job 214,Specialist
215,Data Scientist 215,13-8166,Marketing,17,18,7,44,99,Transforming,Description for job 215,Specialist
216,HR Specialist 216,87-1743,Operations,11,19,3,2,142,Declining,Description for job 216,Specialist
217,Marketing Manager 217,66-1039,Sales,21,49,20,43,1,Declining,Description for job 217,Senior Role
218,Marketing Manager 218,96-2567,Marketing,43,9,19,2,187,Emerging,Description for job 218,Management
219,Marketing Manager 219,33-8660,HR,3,11,9,11,158,Emerging,Description for job 219,Specialist
220,Customer Service Rep 220,24-9170,Marketing,2,43,29,4,160,Transforming,Description for job 220,Management
221,Sales Director 221,66-3913,HR,100,18,14,27,127,Transforming,Description for job 221,Specialist
222,Marketing Manager 222,50-5590,Operations,52,37,36,48,2,Declining,Description for job 222,Specialist
223,AI Specialist 223,14-2409,Technology,30,18,17,30,11,Emerging,Description for job 223,Senior Role
224,Customer Service Rep 224,65-6258,HR,23,50,2,10,57,Transforming,Description for job 224,Management
225,Graphic Designer 225,66-4430,Marketing,5,28,26,17,184,Transforming,Description for job 225,Senior Role
226,Accountant 226,12-9722,Sales,73,16,18,16,182,Declining,Description for job 226,Management
227,Graphic Designer 227,54-3297,Operations,37,44,11,21,108,Transforming,Description for job 227,Management
228,Graphic Designer 228,75-3208,Sales,93,16,48,42,114,Emerging,Description for job 228,Specialist
229,Financial Analyst 229,26-1907,Finance,32,22,28,37,109,Declining,Description for job 229,Management
230,HR Specialist 230,85-7650,Marketing,74,12,4,19,86,Declining,Description for job 230,Specialist
231,Financial Analyst 231,64-3050,Finance,93,37,39,46,164,Declining,Description for job 231,Specialist
232,Accountant 232,39-6685,Sales,74,44,22,17,35,Transforming,Description for job 232,Specialist
233,Accountant 233,27-4935,Marketing,8,38,30,12,28,Transforming,Description for job 233,Senior Role
234,AI Specialist 234,56-3825,Technology,88,43,39,28,179,Declining,Description for job 234,Specialist
235,AI Specialist 235,72-6869,Sales,86,7,49,9,152,Transforming,Description for job 235,Management
236,Nurse 236,72-8500,Operations,45,24,22,11,162,Emerging,Description for job 236,Management
237,Truck Driver 237,43-8837,Sales,67,9,28,26,2,Stable,Description for job 237,Senior Role
238,Nurse 238,94-2056,Technology,91,32,26,40,199,Stable,Description for job 238,Management
239,Machine Learning Engineer 239,58-6810,HR,44,35,8,44,41,Emerging,Description for job 239,Senior Role
240,Nurse 240,65-4503,Operations,66,46,24,16,24,Declining,Description for job 240,Management
241,Accountant 241,55-6428,Marketing,46,46,12,29,30,Declining,Description for job 241,Specialist
242,Sales Director 242,84-1701,Operations,74,13,43,32,182,Emerging,Description for job 242,Senior Role
243,Financial Analyst 243,15-1272,Sales,78,34,50,19,110,Stable,Description for job 243,Management
244,AI Specialist 244,17-8774,Operations,57,37,9,9,21,Declining,Description for job 244,Management
245,Machine Learning Engineer 245,62-8174,Technology,45,34,3,34,49,Emerging,Description for job 245,Senior Role
246,Graphic Designer 246,55-9630,Marketing,92,11,5,17,11,Transforming,Description for job 246,Management
247,Truck Driver 247,27-7330,Marketing,89,17,29,33,64,Stable,Description for job 247,Specialist
248,Marketing Manager 248,71-6136,Marketing,29,39,39,19,48,Declining,Description for job 248,Specialist
249,Nurse 249,75-4248,Technology,77,11,27,43,173,Emerging,Description for job 249,Senior Role
250,Graphic Designer 250,42-2319,HR,73,46,31,48,36,Stable,Description for job 250,Specialist
251,Accountant 251,17-9781,Finance,77,6,10,22,83,Declining,Description for job 251,Management
252,AI Specialist 252,93-8786,Sales,93,5,50,31,187,Stable,Description for job 252,Specialist
253,Software Engineer 253,60-5588,Marketing,92,17,31,17,5,Transforming,Description for job 253,Specialist
254,Financial Analyst 254,56-1875,Marketing,67,11,5,50,27,Emerging,Description for job 254,Senior Role
255,Financial Analyst 255,11-3610,Technology,16,46,41,48,29,Declining,Description for job 255,Specialist
256,Machine Learning Engineer 256,71-2656,Sales,78,11,12,7,109,Transforming,Description for job 256,Senior Role
257,Accountant 257,62-7117,Sales,100,13,28,50,67,Declining,Description for job 257,Management
258,Accountant 258,44-1340,Operations,30,38,19,18,58,Transforming,Description for job 258,Senior Role
259,Truck Driver 259,70-2264,Technology,5,14,47,18,102,Transforming,Description for job 259,Management
260,HR Specialist 260,56-5234,Sales,22,37,50,1,75,Transforming,Description for job 260,Senior Role
261,Data Scientist 261,92-3823,Operations,79,2,15,36,142,Transforming,Description for job 261,Senior Role
262,Sales Director 262,98-8049,Marketing,83,14,19,33,54,Transforming,Description for job 262,Senior Role
263,Machine Learning Engineer 263,39-1626,Technology,76,2,2,21,180,Stable,Description for job 263,Management
264,HR Specialist 264,58-5296,Operations,82,16,13,24,165,Emerging,Description for job 264,Senior Role
265,Accountant 265,91-1519,Operations,30,28,36,36,176,Emerging,Description for job 265,Senior Role
266,Accountant 266,37-3353,Marketing,69,45,1,48,99,Emerging,Description for job 266,Specialist
267,Graphic Designer 267,72-2474,Finance,12,43,15,40,192,Transforming,Description for job 267,Senior Role
268,Nurse 268,33-3658,HR,57,7,44,49,80,Declining,Description for job 268,Senior Role
269,Accountant 269,51-4934,Finance,42,1,7,45,51,Stable,Description for job 269,Senior Role
270,Financial Analyst 270,95-4337,Finance,92,4,20,29,91,Declining,Description for job 270,Senior Role
271,HR Specialist 271,33-4429,Finance,20,46,25,50,55,Stable,Description for job 271,Senior Role
272,AI Specialist 272,79-9577,HR,89,11,33,20,44,Transforming,Description for job 272,Management
273,HR Specialist 273,66-6048,Finance,6,36,38,38,179,Emerging,Description for job 273,Specialist
274,Financial Analyst 274,58-8044,Sales,34,20,10,47,185,Transforming,Description for job 274,Senior Role
275,Sales Director 275,13-6183,Technology,88,13,14,19,165,Declining,Description for job 275,Specialist
276,Accountant 276,84-8011,Operations,29,18,6,25,59,Emerging,Description for job 276,Specialist
277,Sales Director 277,29-4005,Marketing,95,26,32,49,190,Stable,Description for job 277,Specialist
278,Accountant 278,71-3869,Operations,48,38,21,46,21,Emerging,Description for job 278,Management
279,Marketing Manager 279,26-5725,Marketing,64,41,2,48,118,Emerging,Description for job 279,Senior Role
280,Marketing Manager 280,20-8040,Operations,63,42,17,1,140,Transforming,Description for job 280,Senior Role
281,Software Engineer 281,88-8192,Marketing,76,15,15,49,73,Emerging,Description for job 281,Specialist
282,Sales Director 282,26-1473,Marketing,80,23,12,15,45,Transforming,Description for job 282,Senior Role
283,Accountant 283,68-5062,HR,34,13,22,42,112,Stable,Description for job 283,Specialist
284,Customer Service Rep 284,61-8497,Technology,60,34,19,43,19,Emerging,Description for job 284,Management
285,Marketing Manager 285,98-5292,Finance,89,47,9,35,9,Transforming,Description for job 285,Senior Role
286,Graphic Designer 286,42-7948,Sales,41,49,27,16,141,Declining,Description for job 286,Senior Role
287,Marketing Manager 287,91-9465,Sales,83,13,43,4,51,Stable,Description for job 287,Specialist
288,Sales Director 288,57-5381,Operations,76,44,6,29,179,Emerging,Description for job 288,Senior Role
289,Data Scientist 289,69-8573,Operations,43,23,26,41,57,Emerging,Description for job 289,Senior Role
290,Truck Driver 290,81-8405,Marketing,7,1,41,13,15,Stable,Description for job 290,Senior Role
291,Truck Driver 291,25-1790,Finance,45,40,14,33,175,Transforming,Description for job 291,Management
292,Customer Service Rep 292,43-2908,HR,37,21,29,44,35,Stable,Description for job 292,Management
293,Data Scientist 293,19-2290,Finance,96,43,29,16,118,Transforming,Description for job 293,Specialist
294,Marketing Manager 294,16-6299,Finance,65,2,41,32,8,Emerging,Description for job 294,Specialist
295,Nurse 295,21-1195,Finance,85,7,1,2,4,Stable,Description for job 295,Specialist
296,Software Engineer 296,14-1970,Technology,42,16,3,12,16,Stable,Description for job 296,Specialist
297,HR Specialist 297,10-1211,HR,31,11,39,41,199,Declining,Description for job 297,Specialist
