IndustryKey,IndustryName,Industry_Sector,AI_Adoption_Rate_Pct,Projected_Growth_Pct,Regulation_Level,Market_Size_USD,Key_Player_1,Key_Player_2,Key_Player_3,Digital_Transformation_Index,Industry_Description
40,Transportation,Services,0.3,0.164,Medium,115740112766,Industry-40 LeaderCo,Industry-40 GrowthCo,Industry-40 StableCo,43.5,Description for industry 40
41,Education,Services,0.72,0.016,High,109746597045,Industry-41 LeaderCo,Industry-41 GrowthCo,Industry-41 StableCo,64.9,Description for industry 41
42,Retail,Services,0.8,0.146,High,347110517456,Industry-42 LeaderCo,Industry-42 GrowthCo,Industry-42 StableCo,78.1,Description for industry 42
43,Retail,Manufacturing,0.4,0.186,Low,356954163550,Industry-43 LeaderCo,Industry-43 GrowthCo,Industry-43 StableCo,41.2,Description for industry 43
44,Technology,Services,0.5,0.103,Medium,153665477154,Industry-44 LeaderCo,Industry-44 GrowthCo,Industry-44 StableCo,69.4,Description for industry 44
45,Finance,Government,0.3,-0.022,High,71771367507,Industry-45 LeaderCo,Industry-45 GrowthCo,Industry-45 StableCo,61.2,Description for industry 45
46,Manufacturing,Services,0.54,0.174,High,319571054155,Industry-46 LeaderCo,Industry-46 GrowthCo,Industry-46 StableCo,48.3,Description for industry 46
47,Retail,Services,0.44,0.056,High,214399713603,Industry-47 LeaderCo,Industry-47 GrowthCo,Industry-47 StableCo,33.8,Description for industry 47
48,Education,Manufacturing,0.74,0.13,Low,169749392908,Industry-48 LeaderCo,Industry-48 GrowthCo,Industry-48 StableCo,36.1,Description for industry 48
49,Transportation,Services,0.15,-0.032,Low,496807149181,Industry-49 LeaderCo,Industry-49 GrowthCo,Industry-49 StableCo,58.1,Description for industry 49
50,Media,Manufacturing,0.15,0.074,High,356198814442,Industry-50 LeaderCo,Industry-50 GrowthCo,Industry-50 StableCo,82.3,Description for industry 50
51,Retail,Information,0.64,0.149,Medium,97294857514,Industry-51 LeaderCo,Industry-51 GrowthCo,Industry-51 StableCo,67.2,Description for industry 51
52,Retail,Information,0.65,-0.017,Medium,354351773696,Industry-52 LeaderCo,Industry-52 GrowthCo,Industry-52 StableCo,89.9,Description for industry 52
53,Healthcare,Services,0.67,-0.005,Low,426589923643,Industry-53 LeaderCo,Industry-53 GrowthCo,Industry-53 StableCo,69.2,Description for industry 53
54,Transportation,Services,0.42,0.154,Medium,133964361743,Industry-54 LeaderCo,Industry-54 GrowthCo,Industry-54 StableCo,42.3,Description for industry 54
55,Transportation,Services,0.39,0.011,Medium,302164225660,Industry-55 LeaderCo,Industry-55 GrowthCo,Industry-55 StableCo,71.2,Description for industry 55
56,Technology,Government,0.84,0.045,Low,153735682325,Industry-56 LeaderCo,Industry-56 GrowthCo,Industry-56 StableCo,44.6,Description for industry 56
57,Manufacturing,Information,0.77,-0.041,Medium,389522895687,Industry-57 LeaderCo,Industry-57 GrowthCo,Industry-57 StableCo,30.4,Description for industry 57
58,Retail,Information,0.69,-0.003,Medium,285554275823,Industry-58 LeaderCo,Industry-58 GrowthCo,Industry-58 StableCo,77.6,Description for industry 58
59,Transportation,Government,0.76,0.135,Low,410246790801,Industry-59 LeaderCo,Industry-59 GrowthCo,Industry-59 StableCo,33.3,Description for industry 59
60,Healthcare,Services,0.19,0.118,Medium,265428517669,Industry-60 LeaderCo,Industry-60 GrowthCo,Industry-60 StableCo,60.9,Description for industry 60
61,Manufacturing,Manufacturing,0.44,0.115,High,28948410889,Industry-61 LeaderCo,Industry-61 GrowthCo,Industry-61 StableCo,32.4,Description for industry 61
62,Manufacturing,Manufacturing,0.41,0.15,Medium,176661089171,Industry-62 LeaderCo,Industry-62 GrowthCo,Industry-62 StableCo,42.8,Description for industry 62
63,Finance,Government,0.51,-0.027,High,293356269933,Industry-63 LeaderCo,Industry-63 GrowthCo,Industry-63 StableCo,82.6,Description for industry 63
64,Finance,Information,0.44,0.154,Low,307443004214,Industry-64 LeaderCo,Industry-64 GrowthCo,Industry-64 StableCo,52.7,Description for industry 64
65,Healthcare,Information,0.27,0.123,High,318322775666,Industry-65 LeaderCo,Industry-65 GrowthCo,Industry-65 StableCo,68.4,Description for industry 65
66,Media,Manufacturing,0.29,0.091,High,24802933912,Industry-66 LeaderCo,Industry-66 GrowthCo,Industry-66 StableCo,92.9,Description for industry 66
67,Transportation,Manufacturing,0.55,0.104,Medium,105320864674,Industry-67 LeaderCo,Industry-67 GrowthCo,Industry-67 StableCo,38.4,Description for industry 67
68,Media,Government,0.4,0.0,Medium,361511466204,Industry-68 LeaderCo,Industry-68 GrowthCo,Industry-68 StableCo,78.7,Description for industry 68
69,Technology,Information,0.35,0.017,Medium,156916776647,Industry-69 LeaderCo,Industry-69 GrowthCo,Industry-69 StableCo,57.2,Description for industry 69
70,Retail,Services,0.82,0.107,High,216220440508,Industry-70 LeaderCo,Industry-70 GrowthCo,Industry-70 StableCo,61.6,Description for industry 70
71,Media,Government,0.1,-0.004,Low,22283280617,Industry-71 LeaderCo,Industry-71 GrowthCo,Industry-71 StableCo,87.2,Description for industry 71
72,Manufacturing,Government,0.44,0.142,Medium,102115640051,Industry-72 LeaderCo,Industry-72 GrowthCo,Industry-72 StableCo,31.8,Description for industry 72
73,Retail,Services,0.58,0.108,Medium,356313221193,Industry-73 LeaderCo,Industry-73 GrowthCo,Industry-73 StableCo,69.0,Description for industry 73
74,Manufacturing,Information,0.87,0.071,Low,23001730020,Industry-74 LeaderCo,Industry-74 GrowthCo,Industry-74 StableCo,56.7,Description for industry 74
75,Manufacturing,Manufacturing,0.23,0.04,Medium,139504296357,Industry-75 LeaderCo,Industry-75 GrowthCo,Industry-75 StableCo,71.3,Description for industry 75
76,Retail,Government,0.48,0.179,Medium,411707702060,Industry-76 LeaderCo,Industry-76 GrowthCo,Industry-76 StableCo,77.8,Description for industry 76
77,Media,Services,0.12,0.087,Low,137485248825,Industry-77 LeaderCo,Industry-77 GrowthCo,Industry-77 StableCo,45.4,Description for industry 77
78,Manufacturing,Government,0.65,0.015,Low,354514747994,Industry-78 LeaderCo,Industry-78 GrowthCo,Industry-78 StableCo,90.2,Description for industry 78
79,Finance,Government,0.73,0.088,Medium,76187789606,Industry-79 LeaderCo,Industry-79 GrowthCo,Industry-79 StableCo,49.7,Description for industry 79
80,Healthcare,Government,0.44,0.087,Low,192090067191,Industry-80 LeaderCo,Industry-80 GrowthCo,Industry-80 StableCo,53.5,Description for industry 80
81,Transportation,Services,0.32,-0.005,High,286656031747,Industry-81 LeaderCo,Industry-81 GrowthCo,Industry-81 StableCo,93.5,Description for industry 81
82,Manufacturing,Government,0.35,0.035,Medium,202102362129,Industry-82 LeaderCo,Industry-82 GrowthCo,Industry-82 StableCo,90.4,Description for industry 82
83,Retail,Manufacturing,0.24,0.048,Medium,166450149473,Industry-83 LeaderCo,Industry-83 GrowthCo,Industry-83 StableCo,62.3,Description for industry 83
84,Manufacturing,Manufacturing,0.85,0.144,Low,443455328875,Industry-84 LeaderCo,Industry-84 GrowthCo,Industry-84 StableCo,60.4,Description for industry 84
85,Technology,Information,0.72,0.143,Medium,312650428302,Industry-85 LeaderCo,Industry-85 GrowthCo,Industry-85 StableCo,46.3,Description for industry 85
86,Education,Services,0.56,0.123,Low,97897843677,Industry-86 LeaderCo,Industry-86 GrowthCo,Industry-86 StableCo,84.1,Description for industry 86
87,Technology,Services,0.72,0.107,Low,67101754479,Industry-87 LeaderCo,Industry-87 GrowthCo,Industry-87 StableCo,34.8,Description for industry 87
88,Education,Services,0.57,0.05,Medium,312860736243,Industry-88 LeaderCo,Industry-88 GrowthCo,Industry-88 StableCo,78.9,Description for industry 88
89,Finance,Government,0.41,0.163,Medium,80824971017,Industry-89 LeaderCo,Industry-89 GrowthCo,Industry-89 StableCo,70.9,Description for industry 89
90,Manufacturing,Information,0.24,0.186,Low,408086884491,Industry-90 LeaderCo,Industry-90 GrowthCo,Industry-90 StableCo,43.7,Description for industry 90
91,Transportation,Government,0.52,0.076,Medium,186842249872,Industry-91 LeaderCo,Industry-91 GrowthCo,Industry-91 StableCo,80.0,Description for industry 91
92,Media,Services,0.84,0.16,Low,417921700361,Industry-92 LeaderCo,Industry-92 GrowthCo,Industry-92 StableCo,67.3,Description for industry 92
93,Healthcare,Manufacturing,0.64,0.081,High,170255836009,Industry-93 LeaderCo,Industry-93 GrowthCo,Industry-93 StableCo,46.7,Description for industry 93
94,Transportation,Manufacturing,0.61,0.152,Low,110052753553,Industry-94 LeaderCo,Industry-94 GrowthCo,Industry-94 StableCo,47.7,Description for industry 94
95,Retail,Information,0.8,0.176,Medium,448202141089,Industry-95 LeaderCo,Industry-95 GrowthCo,Industry-95 StableCo,71.7,Description for industry 95
96,Media,Information,0.42,-0.027,Low,186416433153,Industry-96 LeaderCo,Industry-96 GrowthCo,Industry-96 StableCo,80.8,Description for industry 96
97,Retail,Services,0.27,0.013,Medium,331750513316,Industry-97 LeaderCo,Industry-97 GrowthCo,Industry-97 StableCo,62.2,Description for industry 97
98,Manufacturing,Services,0.17,-0.043,High,286083707682,Industry-98 LeaderCo,Industry-98 GrowthCo,Industry-98 StableCo,36.3,Description for industry 98
99,Finance,Services,0.15,0.086,Medium,289589499086,Industry-99 LeaderCo,Industry-99 GrowthCo,Industry-99 StableCo,52.5,Description for industry 99
100,Finance,Government,0.32,-0.007,High,271766533198,Industry-100 LeaderCo,Industry-100 GrowthCo,Industry-100 StableCo,52.5,Description for industry 100
