CompanyKey,CompanyName,CompanySize,Primary_Industry,Headquarters_LocationKey,Stock_Ticker,Website_URL,AI_Maturity_Level,Annual_Revenue_USD,Employee_Count,Founding_Year,Is_Public
53,Company 53 Inc.,201-500,Retail,919,BCA,http://www.company53.com,Explorer,86358518488,65056,1953,False
54,Company 54 Inc.,"5001-10,000",Transportation,574,CCA,http://www.company54.com,Exploiter,35691643509,99655,1986,False
55,Company 55 Inc.,201-500,Education,944,DCA,http://www.company55.com,Exploiter,3367853962,66965,2004,True
56,Company 56 Inc.,201-500,Finance,72,ECA,http://www.company56.com,Explorer,11840863948,199335,1964,True
57,Company 57 Inc.,51-200,Finance,673,FCA,http://www.company57.com,Exploiter,23446461457,65002,1952,False
58,Company 58 Inc.,"5001-10,000",Education,198,GCA,http://www.company58.com,Exploiter,89182558796,78625,1991,True
59,Company 59 Inc.,501-1000,Finance,885,HCA,http://www.company59.com,Explorer,43251118568,27274,2004,False
60,Company 60 Inc.,1-50,Finance,536,ICA,http://www.company60.com,Leader,49710424589,118645,1995,False
61,Company 61 Inc.,1001-5000,Transportation,99,JCA,http://www.company61.com,Leader,72511953776,190565,1953,True
62,Company 62 Inc.,501-1000,Manufacturing,121,KCA,http://www.company62.com,Leader,42805204023,29911,1998,False
63,Company 63 Inc.,"10,001+",Finance,752,LCA,http://www.company63.com,Exploiter,88130719690,99132,1955,True
64,Company 64 Inc.,201-500,Finance,89,MCA,http://www.company64.com,Explorer,17544666854,115386,2004,False
65,Company 65 Inc.,201-500,Healthcare,952,NCA,http://www.company65.com,Explorer,81677606173,70177,2016,False
66,Company 66 Inc.,201-500,Media,696,OCA,http://www.company66.com,Explorer,92062260348,141948,2009,True
67,Company 67 Inc.,501-1000,Transportation,293,PCA,http://www.company67.com,Explorer,79720647382,164168,1986,True
68,Company 68 Inc.,51-200,Technology,570,QCA,http://www.company68.com,Explorer,1862001742,7373,1996,True
69,Company 69 Inc.,501-1000,Manufacturing,41,RCA,http://www.company69.com,Explorer,494128971,80204,1957,True
70,Company 70 Inc.,1001-5000,Transportation,54,SCA,http://www.company70.com,Exploiter,29780029898,53189,1965,True
71,Company 71 Inc.,1-50,Media,611,TCA,http://www.company71.com,Leader,79633423607,73687,1996,True
72,Company 72 Inc.,"5001-10,000",Finance,954,UCA,http://www.company72.com,Leader,49445949467,78007,1982,False
73,Company 73 Inc.,501-1000,Finance,896,VCA,http://www.company73.com,Leader,60041921597,167969,2012,False
74,Company 74 Inc.,51-200,Education,697,WCA,http://www.company74.com,Exploiter,72124924934,8635,1970,True
75,Company 75 Inc.,201-500,Technology,92,XCA,http://www.company75.com,Leader,21401945267,125808,2011,False
76,Company 76 Inc.,1001-5000,Manufacturing,491,YCA,http://www.company76.com,Exploiter,86241412827,54192,1973,False
77,Company 77 Inc.,201-500,Finance,476,ZCA,http://www.company77.com,Leader,92967795638,95095,1953,False
78,Company 78 Inc.,501-1000,Education,309,ADA,http://www.company78.com,Explorer,34229800295,178644,2007,False
79,Company 79 Inc.,"5001-10,000",Technology,78,BDA,http://www.company79.com,Leader,36639031000,69930,1974,True
80,Company 80 Inc.,"10,001+",Technology,400,CDA,http://www.company80.com,Exploiter,92061508751,86705,2003,True
81,Company 81 Inc.,1001-5000,Healthcare,480,DDA,http://www.company81.com,Explorer,47628143818,97543,2006,True
82,Company 82 Inc.,201-500,Manufacturing,322,EDA,http://www.company82.com,Leader,3583052767,28394,1954,True
83,Company 83 Inc.,"10,001+",Education,862,FDA,http://www.company83.com,Exploiter,3998354779,108177,2001,True
84,Company 84 Inc.,51-200,Education,703,GDA,http://www.company84.com,Exploiter,89066016700,14784,1972,False
85,Company 85 Inc.,1001-5000,Healthcare,780,HDA,http://www.company85.com,Leader,35117354200,161265,1967,False
86,Company 86 Inc.,201-500,Manufacturing,646,IDA,http://www.company86.com,Explorer,81145960366,193712,1967,False
87,Company 87 Inc.,1-50,Media,645,JDA,http://www.company87.com,Exploiter,85708582353,32214,1994,False
88,Company 88 Inc.,1-50,Transportation,326,KDA,http://www.company88.com,Leader,10828552415,101969,1957,False
89,Company 89 Inc.,"10,001+",Manufacturing,904,LDA,http://www.company89.com,Leader,25123971439,130630,1987,False
90,Company 90 Inc.,201-500,Education,119,MDA,http://www.company90.com,Explorer,68615368416,29339,1985,False
91,Company 91 Inc.,"5001-10,000",Finance,358,NDA,http://www.company91.com,Leader,41361246136,134737,1980,False
92,Company 92 Inc.,51-200,Retail,756,ODA,http://www.company92.com,Exploiter,802471993,75934,1961,False
93,Company 93 Inc.,501-1000,Finance,111,PDA,http://www.company93.com,Leader,99574045836,162361,1986,False
94,Company 94 Inc.,1001-5000,Transportation,506,QDA,http://www.company94.com,Leader,85005338128,54755,1964,True
95,Company 95 Inc.,201-500,Education,196,RDA,http://www.company95.com,Leader,72489287019,106827,1995,True
96,Company 96 Inc.,501-1000,Manufacturing,554,SDA,http://www.company96.com,Explorer,22566454750,96408,1975,False
97,Company 97 Inc.,1-50,Transportation,889,TDA,http://www.company97.com,Exploiter,45404335355,48716,2008,False
98,Company 98 Inc.,1001-5000,Education,339,UDA,http://www.company98.com,Leader,321501465,97756,1979,True
99,Company 99 Inc.,51-200,Retail,717,VDA,http://www.company99.com,Leader,37192565670,165812,1995,True
100,Company 100 Inc.,51-200,Healthcare,595,WDA,http://www.company100.com,Exploiter,91930147938,138834,1957,False
101,Company 101 Inc.,1001-5000,Technology,296,XDA,http://www.company101.com,Explorer,95185223597,158510,2007,True
102,Company 102 Inc.,1-50,Media,984,YDA,http://www.company102.com,Explorer,33092483793,51084,1979,True
103,Company 103 Inc.,"10,001+",Healthcare,1,ZDA,http://www.company103.com,Explorer,10126310690,133525,1972,True
104,Company 104 Inc.,501-1000,Education,513,AEA,http://www.company104.com,Explorer,84386585226,41108,1984,False
105,Company 105 Inc.,"10,001+",Transportation,176,BEA,http://www.company105.com,Leader,28841311627,37258,1979,False
106,Company 106 Inc.,51-200,Technology,970,CEA,http://www.company106.com,Explorer,26769149138,112095,1983,True
107,Company 107 Inc.,51-200,Manufacturing,30,DEA,http://www.company107.com,Leader,25875933533,159163,1985,False
108,Company 108 Inc.,501-1000,Retail,194,EEA,http://www.company108.com,Explorer,43910397610,110470,1997,True
109,Company 109 Inc.,1-50,Transportation,951,FEA,http://www.company109.com,Exploiter,27014077193,168810,1993,True
110,Company 110 Inc.,1-50,Manufacturing,762,GEA,http://www.company110.com,Explorer,71198544223,78229,1986,True
111,Company 111 Inc.,201-500,Retail,315,HEA,http://www.company111.com,Explorer,31974355809,88136,1962,False
112,Company 112 Inc.,1-50,Healthcare,156,IEA,http://www.company112.com,Explorer,42376416273,196676,1969,True
113,Company 113 Inc.,1001-5000,Technology,458,JEA,http://www.company113.com,Explorer,16245997336,31281,1954,True
114,Company 114 Inc.,"5001-10,000",Finance,512,KEA,http://www.company114.com,Leader,1630813532,48536,2013,False
115,Company 115 Inc.,201-500,Retail,410,LEA,http://www.company115.com,Explorer,33110364209,59848,2015,True
116,Company 116 Inc.,"5001-10,000",Transportation,808,MEA,http://www.company116.com,Exploiter,89115890751,135355,2000,False
117,Company 117 Inc.,"5001-10,000",Manufacturing,572,NEA,http://www.company117.com,Leader,95212538437,146418,2011,True
118,Company 118 Inc.,501-1000,Education,235,OEA,http://www.company118.com,Explorer,14352353922,165562,2018,False
119,Company 119 Inc.,"10,001+",Technology,49,PEA,http://www.company119.com,Explorer,42349218064,11811,1973,False
120,Company 120 Inc.,201-500,Manufacturing,925,QEA,http://www.company120.com,Leader,57639244652,155568,1991,False
121,Company 121 Inc.,201-500,Media,591,REA,http://www.company121.com,Exploiter,40743289077,109796,1968,True
122,Company 122 Inc.,501-1000,Finance,780,SEA,http://www.company122.com,Leader,97213934263,93112,2012,True
123,Company 123 Inc.,51-200,Retail,456,TEA,http://www.company123.com,Exploiter,57206627862,154526,1973,False
124,Company 124 Inc.,1001-5000,Finance,73,UEA,http://www.company124.com,Exploiter,98833516376,102435,1999,False
125,Company 125 Inc.,1-50,Manufacturing,636,VEA,http://www.company125.com,Explorer,95953092797,149528,1985,False
126,Company 126 Inc.,501-1000,Healthcare,754,WEA,http://www.company126.com,Explorer,56873403622,151905,1983,False
127,Company 127 Inc.,501-1000,Technology,102,XEA,http://www.company127.com,Explorer,49898364852,181415,1973,False
128,Company 128 Inc.,"5001-10,000",Technology,68,YEA,http://www.company128.com,Exploiter,11770487578,158354,1967,False
129,Company 129 Inc.,501-1000,Transportation,506,ZEA,http://www.company129.com,Exploiter,38732955822,74574,2011,True
130,Company 130 Inc.,1001-5000,Manufacturing,315,AFA,http://www.company130.com,Exploiter,54787388810,9674,1997,False
131,Company 131 Inc.,1-50,Retail,20,BFA,http://www.company131.com,Leader,56363142335,51865,1963,True
132,Company 132 Inc.,"10,001+",Finance,759,CFA,http://www.company132.com,Exploiter,22339883238,60457,1951,True
133,Company 133 Inc.,51-200,Finance,524,DFA,http://www.company133.com,Exploiter,58248035715,89656,1974,False
134,Company 134 Inc.,"10,001+",Technology,234,EFA,http://www.company134.com,Exploiter,77316309556,134673,1991,False
135,Company 135 Inc.,201-500,Finance,211,FFA,http://www.company135.com,Explorer,49986155111,189459,1974,True
136,Company 136 Inc.,1001-5000,Transportation,859,GFA,http://www.company136.com,Explorer,96863007283,135926,1969,True
137,Company 137 Inc.,201-500,Finance,662,HFA,http://www.company137.com,Explorer,29323665516,48266,1956,True
138,Company 138 Inc.,501-1000,Healthcare,69,IFA,http://www.company138.com,Exploiter,4825123722,163271,1982,True
139,Company 139 Inc.,"5001-10,000",Education,686,JFA,http://www.company139.com,Explorer,60146843646,93654,1998,False
140,Company 140 Inc.,"5001-10,000",Manufacturing,64,KFA,http://www.company140.com,Leader,80152900364,109821,2004,False
141,Company 141 Inc.,"5001-10,000",Transportation,494,LFA,http://www.company141.com,Exploiter,40540638660,91778,1954,False
142,Company 142 Inc.,501-1000,Education,60,MFA,http://www.company142.com,Exploiter,99408429650,51160,1997,False
143,Company 143 Inc.,201-500,Technology,453,NFA,http://www.company143.com,Explorer,24178285390,185284,1963,False
144,Company 144 Inc.,51-200,Media,571,OFA,http://www.company144.com,Explorer,20482019012,44720,1992,True
145,Company 145 Inc.,51-200,Manufacturing,620,PFA,http://www.company145.com,Leader,97032428062,132811,1952,False
146,Company 146 Inc.,"10,001+",Healthcare,467,QFA,http://www.company146.com,Leader,82155219370,85963,1965,False
147,Company 147 Inc.,"5001-10,000",Retail,524,RFA,http://www.company147.com,Leader,43564370299,39678,2003,True
148,Company 148 Inc.,201-500,Manufacturing,177,SFA,http://www.company148.com,Explorer,55598799735,73439,2000,False
149,Company 149 Inc.,201-500,Media,880,TFA,http://www.company149.com,Exploiter,40143133532,195073,1961,True
150,Company 150 Inc.,501-1000,Education,406,UFA,http://www.company150.com,Exploiter,30536707698,84904,2004,False
151,Company 151 Inc.,1-50,Education,75,VFA,http://www.company151.com,Leader,84667181843,2400,1999,True
152,Company 152 Inc.,201-500,Healthcare,174,WFA,http://www.company152.com,Explorer,43835547670,160912,1978,True
153,Company 153 Inc.,"10,001+",Finance,732,XFA,http://www.company153.com,Exploiter,69965530564,159050,1967,True
154,Company 154 Inc.,1001-5000,Technology,417,YFA,http://www.company154.com,Exploiter,55864580463,70756,1985,True
155,Company 155 Inc.,1001-5000,Retail,307,ZFA,http://www.company155.com,Leader,62867951465,104212,1955,True
156,Company 156 Inc.,1001-5000,Technology,250,AGA,http://www.company156.com,Explorer,44418292262,174606,1971,False
157,Company 157 Inc.,"10,001+",Retail,80,BGA,http://www.company157.com,Explorer,72098897055,3107,2007,False
158,Company 158 Inc.,"10,001+",Technology,516,CGA,http://www.company158.com,Explorer,74768541842,95674,1982,True
159,Company 159 Inc.,"5001-10,000",Education,230,DGA,http://www.company159.com,Exploiter,14265131775,32438,1986,False
160,Company 160 Inc.,1001-5000,Finance,240,EGA,http://www.company160.com,Leader,26248684949,122729,1954,False
161,Company 161 Inc.,51-200,Education,727,FGA,http://www.company161.com,Exploiter,4039507143,110150,1962,False
162,Company 162 Inc.,51-200,Transportation,631,GGA,http://www.company162.com,Leader,62800246101,67552,1960,True
163,Company 163 Inc.,"5001-10,000",Technology,42,HGA,http://www.company163.com,Explorer,35866139729,14908,1954,True
164,Company 164 Inc.,201-500,Transportation,356,IGA,http://www.company164.com,Exploiter,60858207189,140787,1978,True
165,Company 165 Inc.,201-500,Education,469,JGA,http://www.company165.com,Exploiter,75259326489,86474,1991,False
166,Company 166 Inc.,"10,001+",Healthcare,882,KGA,http://www.company166.com,Exploiter,32910529224,73770,2016,False
167,Company 167 Inc.,501-1000,Healthcare,620,LGA,http://www.company167.com,Exploiter,50144834550,152080,1983,False
168,Company 168 Inc.,"5001-10,000",Healthcare,134,MGA,http://www.company168.com,Exploiter,41884869156,55137,1953,True
169,Company 169 Inc.,201-500,Healthcare,874,NGA,http://www.company169.com,Explorer,89255776452,46758,1995,False
170,Company 170 Inc.,201-500,Technology,188,OGA,http://www.company170.com,Exploiter,16052584461,120747,2004,True
171,Company 171 Inc.,"5001-10,000",Retail,767,PGA,http://www.company171.com,Explorer,93496428961,2640,1996,True
172,Company 172 Inc.,1-50,Technology,802,QGA,http://www.company172.com,Leader,95575311219,162154,2010,True
173,Company 173 Inc.,51-200,Transportation,575,RGA,http://www.company173.com,Leader,66896256300,124245,1986,True
174,Company 174 Inc.,501-1000,Transportation,943,SGA,http://www.company174.com,Explorer,73115850212,78555,1954,True
175,Company 175 Inc.,"5001-10,000",Manufacturing,645,TGA,http://www.company175.com,Exploiter,46734884577,167301,1968,True
176,Company 176 Inc.,"10,001+",Education,420,UGA,http://www.company176.com,Exploiter,37649467116,85948,1956,False
177,Company 177 Inc.,1-50,Retail,48,VGA,http://www.company177.com,Explorer,33119319106,107141,1959,False
178,Company 178 Inc.,1-50,Retail,247,WGA,http://www.company178.com,Leader,2938418088,36771,2006,True
179,Company 179 Inc.,51-200,Technology,512,XGA,http://www.company179.com,Exploiter,83944697867,194372,1968,False
180,Company 180 Inc.,"5001-10,000",Finance,28,YGA,http://www.company180.com,Exploiter,97443377875,115591,1989,False
181,Company 181 Inc.,51-200,Manufacturing,477,ZGA,http://www.company181.com,Exploiter,90628866977,70429,1979,True
182,Company 182 Inc.,1-50,Manufacturing,880,AHA,http://www.company182.com,Exploiter,15487130629,36017,1988,False
183,Company 183 Inc.,"10,001+",Education,514,BHA,http://www.company183.com,Leader,36895437368,183750,1967,True
184,Company 184 Inc.,501-1000,Media,282,CHA,http://www.company184.com,Explorer,41615255228,130088,1965,False
185,Company 185 Inc.,1-50,Finance,990,DHA,http://www.company185.com,Exploiter,34493070819,179625,1992,False
186,Company 186 Inc.,1-50,Technology,510,EHA,http://www.company186.com,Exploiter,14996044706,150552,2010,True
187,Company 187 Inc.,1-50,Finance,619,FHA,http://www.company187.com,Leader,17563377672,163768,2013,True
188,Company 188 Inc.,1001-5000,Finance,15,GHA,http://www.company188.com,Explorer,40227990487,74366,1957,True
189,Company 189 Inc.,"10,001+",Finance,364,HHA,http://www.company189.com,Explorer,66499042828,175613,1961,False
190,Company 190 Inc.,1-50,Healthcare,565,IHA,http://www.company190.com,Exploiter,48396591318,13910,1980,True
191,Company 191 Inc.,1001-5000,Manufacturing,183,JHA,http://www.company191.com,Leader,59062195569,152321,1956,True
192,Company 192 Inc.,201-500,Education,662,KHA,http://www.company192.com,Exploiter,49619495814,174127,1980,True
193,Company 193 Inc.,1-50,Transportation,509,LHA,http://www.company193.com,Leader,36035188462,52114,1966,False
194,Company 194 Inc.,1001-5000,Manufacturing,55,MHA,http://www.company194.com,Leader,69896530603,139865,1983,False
195,Company 195 Inc.,1-50,Finance,480,NHA,http://www.company195.com,Exploiter,41210117580,29430,1996,True
196,Company 196 Inc.,1001-5000,Retail,641,OHA,http://www.company196.com,Exploiter,13112051423,97797,2017,True
197,Company 197 Inc.,"5001-10,000",Finance,479,PHA,http://www.company197.com,Leader,68060489555,141018,1962,True
198,Company 198 Inc.,1001-5000,Manufacturing,64,QHA,http://www.company198.com,Exploiter,19568328499,194399,1951,False
199,Company 199 Inc.,1-50,Manufacturing,865,RHA,http://www.company199.com,Leader,11310958292,63202,2011,True
200,Company 200 Inc.,"5001-10,000",Technology,862,SHA,http://www.company200.com,Explorer,18747489744,15575,1972,True
201,Company 201 Inc.,1-50,Technology,693,THA,http://www.company201.com,Exploiter,93525234839,133076,1977,False
202,Company 202 Inc.,"5001-10,000",Education,699,UHA,http://www.company202.com,Exploiter,85850990374,92631,2005,True
203,Company 203 Inc.,"10,001+",Finance,484,VHA,http://www.company203.com,Explorer,9171339976,63704,2015,True
204,Company 204 Inc.,501-1000,Technology,533,WHA,http://www.company204.com,Leader,19033956493,110824,2007,True
205,Company 205 Inc.,201-500,Transportation,737,XHA,http://www.company205.com,Explorer,11129732171,105461,2010,True
206,Company 206 Inc.,1-50,Healthcare,285,YHA,http://www.company206.com,Exploiter,34380940756,174508,1993,False
207,Company 207 Inc.,"10,001+",Technology,143,ZHA,http://www.company207.com,Leader,95256994749,85509,1985,True
208,Company 208 Inc.,1-50,Healthcare,859,AIA,http://www.company208.com,Leader,16358782558,119959,2016,True
209,Company 209 Inc.,1001-5000,Retail,747,BIA,http://www.company209.com,Explorer,69701309693,173401,1960,False
210,Company 210 Inc.,1-50,Finance,175,CIA,http://www.company210.com,Explorer,29052796979,7028,1989,False
211,Company 211 Inc.,51-200,Technology,929,DIA,http://www.company211.com,Explorer,96095731609,46782,1998,False
212,Company 212 Inc.,"5001-10,000",Transportation,481,EIA,http://www.company212.com,Explorer,55947076424,29771,1979,False
213,Company 213 Inc.,"5001-10,000",Healthcare,203,FIA,http://www.company213.com,Explorer,7137399488,102432,1985,False
214,Company 214 Inc.,"10,001+",Healthcare,568,GIA,http://www.company214.com,Leader,23501855454,53917,1996,False
215,Company 215 Inc.,"10,001+",Finance,223,HIA,http://www.company215.com,Explorer,31823937626,75367,1952,False
216,Company 216 Inc.,51-200,Media,812,IIA,http://www.company216.com,Leader,14641846878,76430,1977,True
217,Company 217 Inc.,"10,001+",Manufacturing,732,JIA,http://www.company217.com,Leader,2340668356,109442,1967,True
218,Company 218 Inc.,51-200,Media,29,KIA,http://www.company218.com,Leader,12297835887,114570,2009,True
219,Company 219 Inc.,1001-5000,Healthcare,613,LIA,http://www.company219.com,Exploiter,32907188748,19995,2005,True
220,Company 220 Inc.,1-50,Transportation,55,MIA,http://www.company220.com,Exploiter,21413277606,41833,1984,True
221,Company 221 Inc.,1001-5000,Technology,950,NIA,http://www.company221.com,Leader,98523997482,183837,1979,False
222,Company 222 Inc.,"5001-10,000",Finance,81,OIA,http://www.company222.com,Leader,33627905760,46469,1988,True
223,Company 223 Inc.,201-500,Education,311,PIA,http://www.company223.com,Exploiter,51838382597,119035,1999,False
224,Company 224 Inc.,51-200,Education,864,QIA,http://www.company224.com,Exploiter,92891252421,18338,1977,False
225,Company 225 Inc.,"10,001+",Manufacturing,701,RIA,http://www.company225.com,Leader,33657909601,194163,1973,False
226,Company 226 Inc.,201-500,Education,240,SIA,http://www.company226.com,Explorer,97378278840,195126,2009,True
227,Company 227 Inc.,1-50,Healthcare,21,TIA,http://www.company227.com,Explorer,87177456785,73492,1952,False
228,Company 228 Inc.,501-1000,Transportation,947,UIA,http://www.company228.com,Exploiter,52783346081,125298,2012,False
229,Company 229 Inc.,51-200,Healthcare,688,VIA,http://www.company229.com,Leader,28412324898,159183,1958,False
230,Company 230 Inc.,1-50,Education,372,WIA,http://www.company230.com,Explorer,8969999304,1800,1954,True
231,Company 231 Inc.,1-50,Healthcare,656,XIA,http://www.company231.com,Exploiter,56861659047,173509,2005,False
232,Company 232 Inc.,"10,001+",Transportation,349,YIA,http://www.company232.com,Explorer,1598064235,35296,1978,True
233,Company 233 Inc.,1001-5000,Transportation,264,ZIA,http://www.company233.com,Exploiter,21544009971,53357,2005,True
234,Company 234 Inc.,1001-5000,Retail,175,AJA,http://www.company234.com,Leader,34259096793,54889,2010,True
235,Company 235 Inc.,"10,001+",Manufacturing,724,BJA,http://www.company235.com,Leader,28409671106,79228,1984,True
236,Company 236 Inc.,"10,001+",Healthcare,837,CJA,http://www.company236.com,Leader,65270351207,55320,1950,False
237,Company 237 Inc.,"5001-10,000",Education,621,DJA,http://www.company237.com,Exploiter,58549641355,116073,2000,False
238,Company 238 Inc.,51-200,Education,761,EJA,http://www.company238.com,Leader,43384513930,91728,1959,False
239,Company 239 Inc.,"10,001+",Education,296,FJA,http://www.company239.com,Exploiter,27767418252,58116,2015,False
240,Company 240 Inc.,1001-5000,Manufacturing,660,GJA,http://www.company240.com,Explorer,98839576300,98133,2005,False
241,Company 241 Inc.,501-1000,Education,207,HJA,http://www.company241.com,Explorer,93772446255,178748,1981,True
242,Company 242 Inc.,501-1000,Technology,32,IJA,http://www.company242.com,Leader,69543217393,188339,1984,True
243,Company 243 Inc.,"5001-10,000",Healthcare,565,JJA,http://www.company243.com,Exploiter,31976658047,138334,1995,False
244,Company 244 Inc.,1001-5000,Manufacturing,66,KJA,http://www.company244.com,Exploiter,58386466711,12938,2004,True
245,Company 245 Inc.,501-1000,Education,285,LJA,http://www.company245.com,Leader,26222158446,172669,2002,False
246,Company 246 Inc.,"5001-10,000",Transportation,497,MJA,http://www.company246.com,Leader,58382127655,105535,2019,True
247,Company 247 Inc.,1-50,Retail,377,NJA,http://www.company247.com,Explorer,11513398024,8807,1959,False
248,Company 248 Inc.,501-1000,Retail,122,OJA,http://www.company248.com,Explorer,8865583013,63519,1990,False
249,Company 249 Inc.,501-1000,Education,198,PJA,http://www.company249.com,Leader,51122026166,11977,1998,True
250,Company 250 Inc.,"5001-10,000",Education,111,QJA,http://www.company250.com,Explorer,5281952950,103987,1980,True
251,Company 251 Inc.,"10,001+",Transportation,501,RJA,http://www.company251.com,Exploiter,79392601149,135267,1965,False
